schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,TransFuser: Imitation with Transformer-Based Sensor Fusion for Autonomous Driving,[],https://arxiv.org/abs/2205.15997v1,https://github.com/autonomousvision/transfuser,1599,
1.0,RESEARCH_PAPER,Constrained Variational Policy Optimization for Safe Reinforcement Learning,[],https://arxiv.org/abs/2201.11927v3,https://github.com/liuzuxin/cvpo-safe-rl,81,
1.0,RESEARCH_PAPER,CycleMix: A Holistic Strategy for Medical Image Segmentation from Scribble Supervision,[],https://arxiv.org/abs/2203.01475v2,https://github.com/bwgzk/cyclemix,100,
1.0,RESEARCH_PAPER,RecBole 2.0: Towards a More Up-to-Date Recommendation Library,[],https://arxiv.org/abs/2206.07351v2,https://github.com/rucaibox/recbole2.0,241,
1.0,RESEARCH_PAPER,BEVDet: High-performance Multi-camera 3D Object Detection in Bird-Eye-View,[],https://arxiv.org/abs/2112.11790v3,https://github.com/HuangJunJie2017/BEVDet,1802,
1.0,RESEARCH_PAPER,Automatic Correction of Human Translations,[],https://arxiv.org/abs/2206.08593v1,https://github.com/lilt/tec,19,
1.0,RESEARCH_PAPER,Panoramic Panoptic Segmentation: Insights Into Surrounding Parsing for Mobile Agents via Unsupervised Contrastive Learning,[],https://arxiv.org/abs/2206.10711v2,https://github.com/alexanderjaus/PPS,15,
1.0,RESEARCH_PAPER,Symmetric Network with Spatial Relationship Modeling for Natural Language-based Vehicle Retrieval,[],https://arxiv.org/abs/2206.10879v1,https://github.com/hbchen121/aicity2022_track2_ssm,12,
1.0,RESEARCH_PAPER,VisFIS: Visual Feature Importance Supervision with Right-for-the-Right-Reason Objectives,[],https://arxiv.org/abs/2206.11212v2,https://github.com/zfying/visfis,5,
1.0,RESEARCH_PAPER,Uncertainty Calibration for Deep Audio Classifiers,[],https://arxiv.org/abs/2206.13071v1,https://github.com/shijing001/unicertainty_calibration_audio_classifiers,2,
1.0,RESEARCH_PAPER,Feature Overcorrelation in Deep Graph Neural Networks: A New Perspective,[],https://arxiv.org/abs/2206.07743v1,https://github.com/chandlerbang/decorr,45,
1.0,RESEARCH_PAPER,Sparse Distillation: Speeding Up Text Classification by Using Bigger Student Models,[],https://arxiv.org/abs/2110.08536v2,https://github.com/ink-usc/sparse-distillation,11,
1.0,RESEARCH_PAPER,Probabilistic Embeddings for Cross-Modal Retrieval,[],https://arxiv.org/abs/2101.05068v2,https://github.com/naver-ai/pcme,142,
1.0,RESEARCH_PAPER,Bootstrap State Representation using Style Transfer for Better Generalization in Deep Reinforcement Learning,[],https://arxiv.org/abs/2207.07749v1,https://github.com/masud99r/thinker,1,
1.0,RESEARCH_PAPER,Dual-branch Hybrid Learning Network for Unbiased Scene Graph Generation,[],https://arxiv.org/abs/2207.07913v1,https://github.com/aa200647963/sgg-dhl,17,
1.0,RESEARCH_PAPER,Clustered Federated Learning via Generalized Total Variation Minimization,[],https://arxiv.org/abs/2105.12769v4,https://github.com/sahelyiyi/FederatedLearning,8,
1.0,RESEARCH_PAPER,A hierarchical semantic segmentation framework for computer vision-based bridge damage detection,[],https://arxiv.org/abs/2207.08878v2,https://github.com/jingxiaoliu/bridge-damage-segmentation,18,
1.0,RESEARCH_PAPER,KOLD: Korean Offensive Language Dataset,[],https://arxiv.org/abs/2205.11315v2,https://github.com/boychaboy/kold,84,
1.0,RESEARCH_PAPER,WeNet 2.0: More Productive End-to-End Speech Recognition Toolkit,[],https://arxiv.org/abs/2203.15455v2,https://github.com/wenet-e2e/wenet,5231,
1.0,RESEARCH_PAPER,Interpretable Semantic Photo Geolocation,[],https://arxiv.org/abs/2104.14995v2,https://github.com/jtheiner/semantic_geo_partitioning,16,
1.0,RESEARCH_PAPER,Un-Mix: Rethinking Image Mixtures for Unsupervised Visual Representation Learning,[],https://arxiv.org/abs/2003.05438v5,https://github.com/szq0214/Rethinking-Image-Mixture-for-Unsupervised-Learning,150,
1.0,RESEARCH_PAPER,TriStereoNet: A Trinocular Framework for Multi-baseline Disparity Estimation,[],https://arxiv.org/abs/2111.12502v2,https://github.com/cogsys-tuebingen/tristereonet,12,
1.0,RESEARCH_PAPER,Robot Fleet Learning via Policy Merging,[],https://arxiv.org/abs/2310.01362v3,https://github.com/liruiw/fleet-tools,29,
1.0,RESEARCH_PAPER,Multiclass-SGCN: Sparse Graph-based Trajectory Prediction with Agent Class Embedding,[],https://arxiv.org/abs/2206.15275v1,https://github.com/carrotsniper/multiclass-sgcn,14,
1.0,RESEARCH_PAPER,Accurate Explanation Model for Image Classifiers using Class Association Embedding,[],https://arxiv.org/abs/2406.07961v3,https://github.com/xrt11/xai-code,9,
1.0,RESEARCH_PAPER,BAT-LZ Out of Hell,[],https://arxiv.org/abs/2403.09893v2,https://github.com/fmasillo/bat-lz,3,
1.0,RESEARCH_PAPER,Explainable Reinforcement Learning via Model Transforms,[],https://arxiv.org/abs/2209.12006v2,https://github.com/sarah-keren/rlpe,2,
1.0,RESEARCH_PAPER,Semi-supervised Conditional GAN for Simultaneous Generation and Detection of Phishing URLs: A Game theoretic Perspective,[],https://arxiv.org/abs/2108.01852v3,https://github.com/SharifAmit/Semi-supervised-Phishing-Detection-GAN,11,
1.0,RESEARCH_PAPER,NSNet: A General Neural Probabilistic Framework for Satisfiability Problems,[],https://arxiv.org/abs/2211.03880v1,https://github.com/zhaoyu-li/nsnet,19,
1.0,RESEARCH_PAPER,A practical guide and software for analysing pairwise comparison experiments,[],http://arxiv.org/abs/1712.03686v2,https://github.com/mantiuk/pwcmp,49,
